,tconst,year,genres,averagerating,numvotes,title,studio,foreign_gross,release_date,budgets,world_gross,domestic_gross,rating,director,writer,theater_date
2144,,,Action and Adventure|Classics|Science Fiction and Fantasy,,,,,,,,,,NR,Ford Beebe|Ray Taylor,,"Mar 3, 1940"
2145,,,Art House and International|Comedy,,,,,,,,,,NR,Fahran Akhtar|Farhan Akhtar,Farhan Akhtar|Kassim Jagmagia,
2146,,,Action and Adventure|Art House and International|Drama,,,,,,,,,,NR,Javier Olivera,,"Aug 17, 2000"
2147,,,Action and Adventure|Drama|Mystery and Suspense,,,,Universal Pictures Distributio,,,,"127,083,765",,PG-13,John Singleton,Gary Scott Thompson|Derek Haas|Michael Brandt,"Jun 6, 2003"
2148,,,Comedy,,,,,,,,,,R,Tamra Davis,Chris Rock|Nelson George|Robert LoCash,"Mar 12, 1993"
2149,,,Art House and International|Comedy|Drama|Mystery and Suspense,,,,,,,,,,R,Stephen Gyllenhaal,Nicholas Kazan|Stephen Gyllenhaal,"Jan 1, 1998"
2150,,,Action and Adventure|Drama|Mystery and Suspense,,,,,,,,,,PG,Don Siegel,,
2151,,,Action and Adventure|Comedy|Kids and Family,,,,Walt Disney Pictures,,,,,,PG,Marc Forster,Alex Ross Perry,"Aug 3, 2018"
2152,,,Horror|Mystery and Suspense,,,,New Line Cinema,,,,"39,418,953",,R,Jonathan Liebesman,Sheldon Turner,"Oct 6, 2006"
2153,,,Drama|Musical and Performing Arts,,,,Dreamworks/Paramount,,,,"31,670,931",,PG-13,Joe Wright,Susannah Grant,"Apr 24, 2009"
2154,,,Drama|Mystery and Suspense,,,,,,,,,,PG,Andrew Birkin,Andrew Birkin,
2155,,,Art House and International|Classics|Drama,,,,,,,,,,NR,,,"Nov 16, 1959"
2156,,,Action and Adventure|Drama,,,,,,,,,,NR,Ralph Habib|Lee Robinson,,
2157,,,Action and Adventure|Drama|Mystery and Suspense|Romance,,,,Reliance Entertainment,,,,"707,672",,NR,,,
2158,,,Kids and Family|Musical and Performing Arts,,,,Destination Films,,,,"2,027,042",,G,Britt Allcroft,Britt Allcroft,"Jul 26, 2000"
2159,,,Classics|Comedy|Musical and Performing Arts|Western,,,,,,,,,,G,Elliot Silverstein|Elliott Silverstein,Walter Newman|Roy Chanslor|Frank Pierson,"Jun 24, 1965"
2160,,,Art House and International|Drama,,,,,,,,,,NR,,,"Apr 27, 2001"
2161,,,Comedy|Drama,,,,Universal Pictures International,,,,"4,683,159",,NR,Oliver Parker,Hamish McColl|Jimmy Perry,
2162,,,Comedy,,,,Focus Features,,,,"33,408,732",,R,Edgar Wright,Edgar Wright|Simon Pegg,"Aug 23, 2013"
2163,,,Comedy,,,,Overture Films,,,,"1,149,350",,PG-13,Nicholas Jasenovec,Nicholas Jasenovec|Charlyne Yi,"Aug 14, 2009"
2164,,,Documentary,,,,,,,,,,NR,,,
2165,,,Comedy,,,,New Line Cinema,,,,"1,260,219",,NC17,John Waters,John Waters,"Sep 24, 2004"
2166,,,Action and Adventure|Western,,,,,,,,,,R,Sergio Sollima,Sergio Sollima|Sergio Donati,"Jan 1, 1966"
